outcome_variable,treatment_description,control_description,treatment_mean,control_mean,treatment_n,control_n,data_source,notes,control_se,effect_pct,element,mod_AMF_status,mod_Cd_added_mg_kg,mod_Cu_added_mg_kg,mod_DAG,mod_K_supply_mg_per_l,mod_N_rate,mod_N_supply_mg_per_l,mod_P_level_mg_per_kg,mod_P_supply_mg_per_l,mod_TOS,mod_average_across,mod_boron_category,mod_boron_level,mod_category,mod_clipping,mod_clone,mod_co2_control,mod_co2_elevated,mod_co2_level,mod_co2_ppm,mod_co2_treatment,mod_cohort,mod_crop,mod_cultivar,mod_culture_system,mod_days_from_seeding,mod_duration_days,mod_ecotype,mod_experiment,mod_fe_supply,mod_fungal_species,mod_genotype,mod_growth_form,mod_growth_stage,mod_harvest,mod_harvest_day,mod_harvest_time,mod_irrigation,mod_leaf_age,mod_leaf_position,mod_maturity,mod_measurement,mod_method,mod_mixture,mod_n_amendment,mod_n_form,mod_needle_age,mod_needle_year,mod_nitrogen_concentration,mod_nitrogen_level,mod_note,mod_nutrient_treatment,mod_o3,mod_o3_treatment,mod_ozone,mod_p_status,mod_p_treatment,mod_p_value,mod_photosynthetic_pathway,mod_rainfall_year,mod_sampling_date,mod_season,mod_significance,mod_soil,mod_soil_fertility,mod_soil_k,mod_soil_moisture,mod_sowing,mod_species,mod_tissue,mod_variety,mod_year,mod_years,n,paper_id,se_control,se_treatment,site,species,tissue,treatment_se,unit
N,700 uL CO2/L,350 uL CO2/L,19.0,21.5,5,5,Table 2,,,-11.63,N,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,g/kg dwt
P,700 uL CO2/L,350 uL CO2/L,2.2,2.22,5,5,Table 2,,,-0.9,P,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,g/kg dwt
N,700 uL CO2/L,350 uL CO2/L,16.0,19.0,5,5,Table 2,,,-15.79,N,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,g/kg dwt
P,700 uL CO2/L,350 uL CO2/L,2.23,2.47,5,5,Table 2,,,-9.72,P,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,g/kg dwt
N,700 uL CO2/L,350 uL CO2/L,15.0,17.0,5,5,Table 2,,,-11.76,N,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,g/kg dwt
P,700 uL CO2/L,350 uL CO2/L,2.57,3.23,5,5,Table 2,,,-20.43,P,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,g/kg dwt
N,700 uL CO2/L,350 uL CO2/L,14.0,18.0,5,5,Table 2,,,-22.22,N,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,g/kg dwt
P,700 uL CO2/L,350 uL CO2/L,3.23,3.5,5,5,Table 2,,,-7.71,P,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,g/kg dwt
N,700 uL CO2/L,350 uL CO2/L,16.0,16.0,5,5,Table 2,,,0.0,N,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,g/kg dwt
P,700 uL CO2/L,350 uL CO2/L,3.84,3.72,5,5,Table 2,,,3.23,P,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,g/kg dwt
Ca,700 uL CO2/L,350 uL CO2/L,0.058,0.057,5,5,Figure 3b,,,1.75,Ca,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,%
Ca,700 uL CO2/L,350 uL CO2/L,0.057,0.057,5,5,Figure 3b,,,0.0,Ca,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,%
Ca,700 uL CO2/L,350 uL CO2/L,0.056,0.056,5,5,Figure 3b,,,0.0,Ca,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,%
Ca,700 uL CO2/L,350 uL CO2/L,0.056,0.055,5,5,Figure 3b,,,1.82,Ca,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,%
Ca,700 uL CO2/L,350 uL CO2/L,0.057,0.054,5,5,Figure 3b,,,5.56,Ca,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,%
Ca,700 uL CO2/L,350 uL CO2/L,0.058,0.053,5,5,Figure 3b,,,9.43,Ca,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,%
Zn,700 uL CO2/L,350 uL CO2/L,35,38,5,5,Figure 4a,,,-7.89,Zn,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,mg/kg
Zn,700 uL CO2/L,350 uL CO2/L,33,37,5,5,Figure 4a,,,-10.81,Zn,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,mg/kg
Zn,700 uL CO2/L,350 uL CO2/L,32,36,5,5,Figure 4a,,,-11.11,Zn,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,mg/kg
Zn,700 uL CO2/L,350 uL CO2/L,33,35,5,5,Figure 4a,,,-5.71,Zn,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,mg/kg
Zn,700 uL CO2/L,350 uL CO2/L,32,34,5,5,Figure 4a,,,-5.88,Zn,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,mg/kg
Zn,700 uL CO2/L,350 uL CO2/L,30,33,5,5,Figure 4a,,,-9.09,Zn,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,mg/kg
Fe,700 uL CO2/L,350 uL CO2/L,50,55,5,5,Figure 4b,,,-9.09,Fe,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,mg/kg
Fe,700 uL CO2/L,350 uL CO2/L,45,52,5,5,Figure 4b,,,-13.46,Fe,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,mg/kg
Fe,700 uL CO2/L,350 uL CO2/L,40,48,5,5,Figure 4b,,,-16.67,Fe,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,mg/kg
Fe,700 uL CO2/L,350 uL CO2/L,35,45,5,5,Figure 4b,,,-22.22,Fe,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,mg/kg
Fe,700 uL CO2/L,350 uL CO2/L,25,40,5,5,Figure 4b,,,-37.5,Fe,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,mg/kg
Fe,700 uL CO2/L,350 uL CO2/L,15,30,5,5,Figure 4b,,,-50.0,Fe,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,026_Seneweera_1997,,,,,grain,,mg/kg
N,1000 ul/L CO2,350 ul/L CO2,4.8,5.5,8,8,Figure 4,,,-12.73,N,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,vegetative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
N,1000 ul/L CO2,350 ul/L CO2,4.0,5.2,8,8,Figure 4,,,-23.08,N,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,flowering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
N,1000 ul/L CO2,350 ul/L CO2,4.5,4.5,8,8,Figure 4,,,0.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,fruiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
P,1000 ul/L CO2,350 ul/L CO2,0.55,0.7,8,8,Figure 4,,,-21.43,P,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,vegetative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
P,1000 ul/L CO2,350 ul/L CO2,0.5,0.6,8,8,Figure 4,,,-16.67,P,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,flowering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
P,1000 ul/L CO2,350 ul/L CO2,0.5,0.5,8,8,Figure 4,,,0.0,P,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,fruiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
K,1000 ul/L CO2,350 ul/L CO2,4.2,5.0,8,8,Figure 4,,,-16.0,K,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,vegetative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
K,1000 ul/L CO2,350 ul/L CO2,3.8,4.5,8,8,Figure 4,,,-15.56,K,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,flowering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
K,1000 ul/L CO2,350 ul/L CO2,4.0,4.0,8,8,Figure 4,,,0.0,K,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,fruiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
Ca,1000 ul/L CO2,350 ul/L CO2,2.5,4.5,8,8,Figure 4,,,-44.44,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,vegetative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
Ca,1000 ul/L CO2,350 ul/L CO2,2.8,5.0,8,8,Figure 4,,,-44.0,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,flowering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
Ca,1000 ul/L CO2,350 ul/L CO2,3.5,3.8,8,8,Figure 4,,,-7.89,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,fruiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
Mg,1000 ul/L CO2,350 ul/L CO2,0.9,1.2,8,8,Figure 4,,,-25.0,Mg,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,vegetative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
Mg,1000 ul/L CO2,350 ul/L CO2,0.8,1.2,8,8,Figure 4,,,-33.33,Mg,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,flowering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
Mg,1000 ul/L CO2,350 ul/L CO2,1.0,1.0,8,8,Figure 4,,,0.0,Mg,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,fruiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cucumis sativus cv Chipper,,,,,8,027_Peet_1986,,,,,leaf,,% dry weight
B,"700 ppm CO2, 4.5 uM B","370 ppm CO2, 4.5 uM B",10,15,3,3,Figure 3a,,,-33.33,B,,,,,,,,,,,,low,4.5 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,leaf,,mg/kg
B,"700 ppm CO2, 45 uM B","370 ppm CO2, 45 uM B",30,60,3,3,Figure 3a,,,-50.0,B,,,,,,,,,,,,medium,45 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,leaf,,mg/kg
B,"700 ppm CO2, 450 uM B","370 ppm CO2, 450 uM B",225,500,3,3,Figure 3a,,,-55.0,B,,,,,,,,,,,,high,450 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,leaf,,mg/kg
B,"700 ppm CO2, 4.5 uM B","370 ppm CO2, 4.5 uM B",15,20,3,3,Figure 3b,,,-25.0,B,,,,,,,,,,,,low,4.5 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
B,"700 ppm CO2, 45 uM B","370 ppm CO2, 45 uM B",40,50,3,3,Figure 3b,,,-20.0,B,,,,,,,,,,,,medium,45 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
B,"700 ppm CO2, 450 uM B","370 ppm CO2, 450 uM B",180,200,3,3,Figure 3b,,,-10.0,B,,,,,,,,,,,,high,450 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
P,"700 ppm CO2, 4.5 uM B","370 ppm CO2, 4.5 uM B",3500,4500,3,3,Figure 4a,,,-22.22,P,,,,,,,,,,,,low,4.5 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,leaf,,mg/kg
P,"700 ppm CO2, 45 uM B","370 ppm CO2, 45 uM B",5000,4000,3,3,Figure 4a,,,25.0,P,,,,,,,,,,,,medium,45 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,leaf,,mg/kg
P,"700 ppm CO2, 450 uM B","370 ppm CO2, 450 uM B",2500,3500,3,3,Figure 4a,,,-28.57,P,,,,,,,,,,,,high,450 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,leaf,,mg/kg
P,"700 ppm CO2, 4.5 uM B","370 ppm CO2, 4.5 uM B",500,600,3,3,Figure 4a,,,-16.67,P,,,,,,,,,,,,low,4.5 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
P,"700 ppm CO2, 45 uM B","370 ppm CO2, 45 uM B",400,500,3,3,Figure 4a,,,-20.0,P,,,,,,,,,,,,medium,45 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
P,"700 ppm CO2, 450 uM B","370 ppm CO2, 450 uM B",500,600,3,3,Figure 4a,,,-16.67,P,,,,,,,,,,,,high,450 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Cu,"700 ppm CO2, 4.5 uM B","370 ppm CO2, 4.5 uM B",350,250,3,3,Figure 4c,,,40.0,Cu,,,,,,,,,,,,low,4.5 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Cu,"700 ppm CO2, 45 uM B","370 ppm CO2, 45 uM B",250,200,3,3,Figure 4c,,,25.0,Cu,,,,,,,,,,,,medium,45 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Cu,"700 ppm CO2, 450 uM B","370 ppm CO2, 450 uM B",200,200,3,3,Figure 4c,,,0.0,Cu,,,,,,,,,,,,high,450 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Fe,"700 ppm CO2, 4.5 uM B","370 ppm CO2, 4.5 uM B",3000,2500,3,3,Figure 4d,,,20.0,Fe,,,,,,,,,,,,low,4.5 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Fe,"700 ppm CO2, 45 uM B","370 ppm CO2, 45 uM B",3500,2500,3,3,Figure 4d,,,40.0,Fe,,,,,,,,,,,,medium,45 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Fe,"700 ppm CO2, 450 uM B","370 ppm CO2, 450 uM B",2500,3000,3,3,Figure 4d,,,-16.67,Fe,,,,,,,,,,,,high,450 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Zn,"700 ppm CO2, 4.5 uM B","370 ppm CO2, 4.5 uM B",1500,1200,3,3,Figure 4b,,,25.0,Zn,,,,,,,,,,,,low,4.5 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Zn,"700 ppm CO2, 45 uM B","370 ppm CO2, 45 uM B",1200,1500,3,3,Figure 4b,,,-20.0,Zn,,,,,,,,,,,,medium,45 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Zn,"700 ppm CO2, 450 uM B","370 ppm CO2, 450 uM B",1200,2000,3,3,Figure 4b,,,-40.0,Zn,,,,,,,,,,,,high,450 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
B,"700 ppm CO2, 4.5 uM B","370 ppm CO2, 4.5 uM B",10,15,3,3,Figure 3a,,,-33.33,B,,,,,,,,,,,,low,4.5 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,leaf,,mg/kg
B,"700 ppm CO2, 45 uM B","370 ppm CO2, 45 uM B",30,60,3,3,Figure 3a,,,-50.0,B,,,,,,,,,,,,medium,45 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,leaf,,mg/kg
B,"700 ppm CO2, 450 uM B","370 ppm CO2, 450 uM B",225,500,3,3,Figure 3a,,,-55.0,B,,,,,,,,,,,,high,450 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,leaf,,mg/kg
B,"700 ppm CO2, 4.5 uM B","370 ppm CO2, 4.5 uM B",15,20,3,3,Figure 3b,,,-25.0,B,,,,,,,,,,,,low,4.5 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
B,"700 ppm CO2, 45 uM B","370 ppm CO2, 45 uM B",40,50,3,3,Figure 3b,,,-20.0,B,,,,,,,,,,,,medium,45 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
B,"700 ppm CO2, 450 uM B","370 ppm CO2, 450 uM B",180,200,3,3,Figure 3b,,,-10.0,B,,,,,,,,,,,,high,450 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
P,"700 ppm CO2, 4.5 uM B","370 ppm CO2, 4.5 uM B",3800,4800,3,3,Figure 4a,,,-20.83,P,,,,,,,,,,,,low,4.5 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,leaf,,mg/kg
P,"700 ppm CO2, 45 uM B","370 ppm CO2, 45 uM B",4200,4500,3,3,Figure 4a,Corrected from v1 which had +25% (treatment>control). Text states P was not significantly affected by CO2 in shoots. Bars in figure are close in height with ambient slightly taller.,,-6.67,P,,,,,,,,,,,,medium,45 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,leaf,,mg/kg
P,"700 ppm CO2, 450 uM B","370 ppm CO2, 450 uM B",2800,3200,3,3,Figure 4a,,,-12.5,P,,,,,,,,,,,,high,450 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,leaf,,mg/kg
P,"700 ppm CO2, 4.5 uM B","370 ppm CO2, 4.5 uM B",550,600,3,3,Figure 4a,,,-8.33,P,,,,,,,,,,,,low,4.5 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
P,"700 ppm CO2, 45 uM B","370 ppm CO2, 45 uM B",450,500,3,3,Figure 4a,,,-10.0,P,,,,,,,,,,,,medium,45 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
P,"700 ppm CO2, 450 uM B","370 ppm CO2, 450 uM B",600,550,3,3,Figure 4a,,,9.09,P,,,,,,,,,,,,high,450 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Zn,"700 ppm CO2, 4.5 uM B","370 ppm CO2, 4.5 uM B",1500,1200,3,3,Figure 4b,,,25.0,Zn,,,,,,,,,,,,low,4.5 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Zn,"700 ppm CO2, 45 uM B","370 ppm CO2, 45 uM B",1200,1500,3,3,Figure 4b,,,-20.0,Zn,,,,,,,,,,,,medium,45 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Zn,"700 ppm CO2, 450 uM B","370 ppm CO2, 450 uM B",1200,2000,3,3,Figure 4b,,,-40.0,Zn,,,,,,,,,,,,high,450 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Cu,"700 ppm CO2, 4.5 uM B","370 ppm CO2, 4.5 uM B",350,250,3,3,Figure 4c,,,40.0,Cu,,,,,,,,,,,,low,4.5 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
Cu,"700 ppm CO2, 45 uM B","370 ppm CO2, 45 uM B",250,200,3,3,Figure 4c,,,25.0,Cu,,,,,,,,,,,,medium,45 uM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,028_Mishra_2011,,,,,root,,mg/kg
